"employees","random_salaries","salary_adjustments","yearly_salary","raise"
"Employee 1",46891.9243337587,8465.77621647157,55357.7005502302,TRUE
"Employee 2",45950.3039927222,8516.11068355851,54466.4146762807,TRUE
"Employee 3",43919.1383053549,3226.00858402438,47145.1468893792,TRUE
"Employee 4",43108.7163556367,2422.88490524516,45531.6012608819,TRUE
"Employee 5",47233.9898045175,7917.23007918335,55151.2198837008,TRUE
"Employee 6",40008.4329489619,9298.93314489163,49307.3660938535,TRUE
"Employee 7",44906.2391673215,237.309813965112,45143.5489812866,TRUE
"Employee 8",45330.5663377978,9731.06568679214,55061.6320245899,TRUE
"Employee 9",48032.3993018828,9298.87645179406,57331.2757536769,TRUE
"Employee 10",46026.1693410575,5316.2932023406,51342.4625433981,TRUE
"Employee 11",48299.8351333663,5441.40755548142,53741.2426888477,TRUE
"Employee 12",45209.690220654,4407.31814946048,49617.0083701145,TRUE
"Employee 13",43927.8844743967,-4430.41186663322,39497.4726077635,FALSE
"Employee 14",43793.6239363626,-2046.42140772194,41747.2025286406,FALSE
"Employee 15",44432.3831121437,185.873500304297,44618.256612448,TRUE
"Employee 16",46054.7715332359,8814.03351901099,54868.8050522469,TRUE
"Employee 17",42723.5405147076,8546.50197317824,51270.0424878858,TRUE
"Employee 18",42609.2964783311,1555.84316235036,44165.1396406814,TRUE
"Employee 19",44575.4900365137,-2898.71137822047,41676.7786582932,FALSE
"Employee 20",46866.6390422732,6627.76414072141,53494.4031829946,TRUE
"Employee 21",44747.7424424142,-3272.53626543097,41475.2061769832,FALSE
"Employee 22",48052.5248451158,2842.38232532516,50894.907170441,TRUE
"Employee 23",42493.8791850582,5718.11474277638,48211.9939278346,TRUE
"Employee 24",48089.2184260301,-1644.92075098678,46444.2976750433,FALSE
"Employee 25",41805.6534952484,164.284050697461,41969.9375459459,TRUE
"Employee 26",49547.1323351376,4703.30342068337,54250.4357558209,TRUE
"Employee 27",41192.0739361085,-4777.63899485581,36414.4349412527,FALSE
"Employee 28",44655.527039431,-2259.72262327559,42395.8044161554,FALSE
"Employee 29",45015.0329060853,-1272.38289802335,43742.6500080619,FALSE
"Employee 30",46591.3258888759,5964.87041097134,52556.1962998472,TRUE
"Employee 31",45335.276464466,1040.68918270059,46375.9656471666,TRUE
"Employee 32",42380.2009434439,54.7919340897352,42434.9928775337,TRUE
"Employee 33",42103.6959462799,-4819.05210996047,37284.6438363194,FALSE
"Employee 34",48700.8127942681,1493.03060141392,50193.8433956821,TRUE
"Employee 35",49975.5275528878,2147.84787152894,52123.3754244167,TRUE
"Employee 36",44104.7060675919,823.438899824396,44928.1449674163,TRUE
"Employee 37",40840.2175246738,8425.6328898482,49265.850414522,TRUE
"Employee 38",49757.4888751842,138.69552523829,49896.1844004225,TRUE
"Employee 39",44313.7719156221,-1050.4474316258,43263.3244839963,FALSE
"Employee 40",40784.5419063233,2093.86388538405,42878.4057917073,TRUE
"Employee 41",47682.18355719,3792.07217250951,51474.2557296995,TRUE
"Employee 42",45610.86445814,-4975.83400574513,40635.0304523949,FALSE
"Employee 43",47566.0837185569,-2343.29608618282,45222.7876323741,FALSE
"Employee 44",41530.3903515451,5207.26192276925,46737.6522743143,TRUE
"Employee 45",41582.9692175612,-453.3082828857,41129.6609346755,FALSE
"Employee 46",46623.8123178482,3183.14681062475,49806.959128473,TRUE
"Employee 47",44637.1002681553,2095.64142860472,46732.7416967601,TRUE
"Employee 48",49632.3510771617,3121.27036158927,52753.621438751,TRUE
"Employee 49",46337.3780925758,8024.47477355599,54361.8528661318,TRUE
"Employee 50",40647.8972989134,-1247.87601525895,39400.0212836545,FALSE
"Employee 51",44933.4224243648,-2096.97526763193,42836.4471567329,FALSE
"Employee 52",48735.2193635888,9566.09360640869,58301.3129699975,TRUE
"Employee 53",40608.7023555301,8901.78586356342,49510.4882190935,TRUE
"Employee 54",48822.4035990424,-2050.08853925392,46772.3150597885,FALSE
"Employee 55",46558.0242173746,-2929.44348650053,43628.5807308741,FALSE
"Employee 56",44558.0121967942,-2963.51433033124,41594.4978664629,FALSE
"Employee 57",45451.9046563655,-4452.04639341682,40999.8582629487,FALSE
"Employee 58",43761.1013231799,6391.86448301189,50152.9658061918,TRUE
"Employee 59",48534.5413722098,-3938.87512153015,44595.6662506796,FALSE
"Employee 60",48366.8966009282,1405.20935412496,49772.1059550531,TRUE
"Employee 61",47598.714302294,-4923.31356625073,42675.4007360432,FALSE
"Employee 62",45964.7067915648,7658.27091876417,53622.977710329,TRUE
"Employee 63",40075.2071477473,4155.07388534024,44230.2810330875,TRUE
"Employee 64",46610.9554632567,4752.83704930916,51363.7925125659,TRUE
"Employee 65",41279.352561105,2702.95599824749,43982.3085593525,TRUE
"Employee 66",45075.1557480544,8851.41615755856,53926.5719056129,TRUE
"Employee 67",43786.4311644807,8398.44355010428,52184.874714585,TRUE
"Employee 68",40342.8004076704,-4377.98878992908,35964.8116177414,FALSE
"Employee 69",40789.8355810903,-4733.56028785929,36056.275293231,FALSE
"Employee 70",46900.6883073598,7283.5262469016,54184.2145542614,TRUE
"Employee 71",44692.292297259,9039.49465136975,53731.7869486287,TRUE
"Employee 72",42439.5989347249,6000.3901226446,48439.9890573695,TRUE
"Employee 73",46357.2436152026,9575.05812169984,55932.3017369024,TRUE
"Employee 74",44845.1658757403,3166.06903565116,48011.2349113915,TRUE
"Employee 75",41608.3765262738,8462.54283445887,50070.9193607327,TRUE
"Employee 76",43873.9674305543,-37.2118828818202,43836.7555476725,FALSE
"Employee 77",49997.4463693798,3688.9189959038,53686.3653652836,TRUE
"Employee 78",46854.1086115874,6690.81976637244,53544.9283779599,TRUE
"Employee 79",44019.9661580846,2417.95504349284,46437.9212015774,TRUE
"Employee 80",42516.6452187113,6857.88574046455,49374.5309591759,TRUE
"Employee 81",48013.4627968073,-1464.25898419693,46549.2038126104,FALSE
"Employee 82",43720.5656175502,9694.05682524666,53414.6224427968,TRUE
"Employee 83",42721.1748342961,9423.40740701184,52144.5822413079,TRUE
"Employee 84",45917.2018710524,-2252.99345329404,43664.2084177583,FALSE
"Employee 85",48033.049274236,2258.89193941839,50291.9412136544,TRUE
"Employee 86",45311.3487223163,3877.81467288733,49189.1633952036,TRUE
"Employee 87",41726.4422937296,-594.647108810022,41131.7951849196,FALSE
"Employee 88",46219.8355421424,5286.22747282498,51506.0630149674,TRUE
"Employee 89",45769.378291443,4758.8684677612,50528.2467592042,TRUE
"Employee 90",48267.5489457324,-183.331739390269,48084.2172063421,FALSE
"Employee 91",48933.9648769237,-3012.11195182987,45921.8529250938,FALSE
"Employee 92",40460.0490559824,-1273.54887314141,39186.500182841,FALSE
"Employee 93",48586.0514594242,2563.51515650749,51149.5666159317,TRUE
"Employee 94",40051.6583397985,5110.2784066461,45161.9367464446,TRUE
"Employee 95",48642.6890129223,4523.58518727124,53166.2742001936,TRUE
"Employee 96",42603.7810114212,3017.55264285021,45621.3336542714,TRUE
"Employee 97",48009.3791987747,5411.35771665722,53420.7369154319,TRUE
"Employee 98",48192.3644337803,-4100.6193170324,44091.7451167479,FALSE
"Employee 99",41653.0764661729,-625.507229706272,41027.5692364667,FALSE
"Employee 100",46256.4430292696,3597.7275040932,49854.1705333628,TRUE
